# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-34 UTC;3531.00;3518.00;13.00;629664.00;128.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-34 UTC;157416.00;24.00;123535.00;0.00;40032.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-34 UTC;60461648;4892252;7.49;8336;2733280;1737108;2.66;1554644;2585632;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-34 UTC;-1;16.33;0.00;5.78;3.64;0.00;74.25
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-35 UTC;2269.00;0.00;2269.00;0.00;203824.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-35 UTC;0.00;50956.00;8615.00;0.00;92575.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-35 UTC;60783216;4570684;6.99;8384;2733540;1427368;2.18;1234136;2586192;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-35 UTC;-1;12.62;0.00;0.75;0.88;0.00;85.75
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-36 UTC;3208.00;3192.00;16.00;567888.00;128.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-36 UTC;141972.00;32.00;79886.00;1.00;47199.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-36 UTC;60503360;4850540;7.42;8784;2875332;1707088;2.61;1378272;2719996;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-36 UTC;-1;16.92;0.00;2.01;2.76;0.00;78.32
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-37 UTC;0.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-37 UTC;0.00;0.00;45126.00;0.00;84065.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-37 UTC;60652296;4701604;7.19;8796;2875356;1423292;2.18;1229432;2720476;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-37 UTC;-1;12.03;0.00;1.00;0.00;0.00;86.97
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-38 UTC;214.00;214.00;0.00;42032.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-38 UTC;10380.00;0.00;6438.00;0.00;41518.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-38 UTC;60768436;4585464;7.02;8864;2886296;1680340;2.57;1106736;2726232;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-38 UTC;-1;12.39;0.00;0.63;0.13;0.00;86.86
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-39 UTC;2772.00;2772.00;0.00;492096.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-39 UTC;123152.00;0.00;107110.00;0.00;4349.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-39 UTC;60232376;5121524;7.84;9064;3009152;1713128;2.62;1521480;2847404;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-39 UTC;-1;15.54;0.00;2.63;2.38;0.00;79.45
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-40 UTC;2036.00;0.00;2036.00;0.00;274000.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-40 UTC;0.00;68484.00;2134.00;0.00;81177.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-40 UTC;60534028;4819872;7.38;9108;3009000;1414144;2.16;1218852;2848212;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-40 UTC;-1;12.52;0.00;1.00;1.38;0.00;85.11
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-41 UTC;3370.00;3366.00;4.00;612544.00;32.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-41 UTC;153136.00;8.00;144450.00;0.00;42545.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-41 UTC;59975644;5378256;8.23;9356;3161428;1800632;2.76;1633104;2990924;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-41 UTC;-1;17.33;0.00;3.37;3.62;0.00;75.69
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-42 UTC;0.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-42 UTC;0.00;0.00;8134.00;0.00;111416.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-42 UTC;60381844;4972056;7.61;9416;3161244;1414836;2.16;1228812;2991276;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-42 UTC;-1;12.66;0.00;0.75;0.00;0.00;86.59
sasa.cl.cam.ac.uk;1;2013-03-25 23-01-43 UTC;3833.00;3833.00;0.00;672528.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-43 UTC;168132.00;0.00;144821.00;0.00;47491.00;0.00;0.00;0.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-43 UTC;59814732;5539168;8.48;9752;3328776;1816224;2.78;1641844;3141732;sasa.cl.cam.ac.uk;1;2013-03-25 23-01-43 UTC;-1;19.82;0.00;3.76;4.52;0.00;71.89
