# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s;# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-14 UTC;14233.00;14194.00;39.00;113552.00;1540.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-14 UTC;56788.00;374.00;104570.00;23078.00;9178.00;0.00;0.00;152.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-14 UTC;61160052;4193848;6.42;12168;3277384;1648836;2.52;149616;2035036;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-14 UTC;-1;15.37;0.00;10.07;45.85;0.00;28.71
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-15 UTC;5899.00;5864.00;35.00;46920.00;276.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-15 UTC;23448.00;66.00;60031.00;11935.00;12010.00;0.00;0.00;6012.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-15 UTC;61160300;4193600;6.42;10416;3278432;1648836;2.52;149728;2033744;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-15 UTC;-1;9.57;0.00;23.05;20.35;0.00;47.04
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-16 UTC;25097.00;25097.00;0.00;201376.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-16 UTC;100492.00;0.00;56407.00;25183.00;26458.00;0.00;0.00;25084.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-16 UTC;61160044;4193856;6.42;10436;3278180;1648752;2.52;150664;2033544;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-16 UTC;-1;10.06;0.00;6.32;34.19;0.00;49.42
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-17 UTC;27848.00;27846.00;2.00;222768.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-17 UTC;111424.00;4.00;61810.00;28355.00;28802.00;0.00;0.00;27797.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-17 UTC;61160052;4193848;6.42;10656;3277620;1648752;2.52;150716;2033720;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-17 UTC;-1;12.67;0.00;7.22;34.22;0.00;45.88
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-18 UTC;26510.00;26510.00;0.00;212080.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-18 UTC;106008.00;0.00;55254.00;26354.00;28036.00;0.00;0.00;26561.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-18 UTC;61158688;4195212;6.42;11308;3278316;1648748;2.52;150900;2033320;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-18 UTC;-1;8.58;0.00;5.85;35.37;0.00;50.20
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-19 UTC;27392.00;27392.00;0.00;219136.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-19 UTC;109556.00;0.00;57111.00;27622.00;27983.00;0.00;0.00;27286.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-19 UTC;61160300;4193600;6.42;11328;3277828;1648748;2.52;151064;2032624;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-19 UTC;-1;12.42;0.00;6.72;33.46;0.00;47.40
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-20 UTC;28269.00;28269.00;0.00;226152.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-20 UTC;113104.00;0.00;62631.00;28448.00;29580.00;0.00;0.00;28258.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-20 UTC;61158388;4195512;6.42;11776;3278080;1648748;2.52;151576;2032972;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-20 UTC;-1;9.40;0.00;8.26;33.04;0.00;49.30
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-21 UTC;27071.00;27058.00;13.00;216464.00;128.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-21 UTC;108212.00;24.00;54601.00;27054.00;27728.00;0.00;0.00;27242.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-21 UTC;61159224;4194676;6.42;11804;3277008;1648748;2.52;151700;2031988;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-21 UTC;-1;11.84;0.00;5.15;34.62;0.00;48.39
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-22 UTC;29703.00;29703.00;0.00;237624.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-22 UTC;118804.00;0.00;62966.00;29713.00;31035.00;0.00;0.00;29745.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-22 UTC;61158728;4195172;6.42;11868;3276484;1648836;2.52;154436;2028312;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-22 UTC;-1;13.73;0.00;10.11;31.09;0.00;45.07
sasa.cl.cam.ac.uk;1;2013-03-25 15-32-23 UTC;28769.00;28767.00;2.00;230136.00;16.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-23 UTC;115064.00;4.00;58096.00;28768.00;29224.00;0.00;0.00;28732.00;0.00;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-23 UTC;61158976;4194924;6.42;11872;3277112;1648836;2.52;172556;2011136;sasa.cl.cam.ac.uk;1;2013-03-25 15-32-23 UTC;-1;18.05;0.00;5.76;33.16;0.00;43.02
